id,stock_code,stock_name,oss_url,is_key_polluters,full_name,人工结果,自动化和人工对比结果
44151,000513,丽珠集团,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/丽珠集团/1205948860.PDF,适用,丽珠医药集团股份有限公司,适用,相同
52589,000557,西部创业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/西部创业/1206124558.PDF,不适用,宁夏西部创业实业股份有限公司,不适用,相同
43060,08266,卓信国际控股,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/卓信国际控股/1205107193.PDF,不知道,卓信国际控股有限公司,不适用,不相同
51443,300712,永福股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/永福股份/1206071531.PDF,不适用,福建永福电力设计股份有限公司,不适用,相同
44480,601988,中国银行,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中国银行/1205968029.PDF,不知道,中国银行股份有限公司,适用,不相同
52073,300198,纳川股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/纳川股份/1206106521.PDF,不适用,福建纳川管材科技股份有限公司,不适用,相同
52516,000155,川能动力,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/川能动力/1206115151.PDF,不知道,川化股份有限公司,不适用,不相同
52516,000155,川能动力,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/川能动力/1206115151.PDF,不知道,四川省新能源动力股份有限公司,不适用,不相同
43075,08319,YUSEI,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/YUSEI/1205107070.PDF,不知道,思博系统控股有限公司,不适用,不相同
52951,000729,燕京啤酒,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/燕京啤酒/1206253468.PDF,不知道,北京燕京啤酒股份有限公司,适用,不相同
43568,00002,中电控股,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中电控股/1205891143.PDF,不知道,中电控股有限公司,不适用,不相同
43220,01705,宾仕国际,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/宾仕国际/1205221410.PDF,不知道,宾仕国际控股有限公司,不适用,不相同
43868,600585,海螺水泥,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/海螺水泥/1205923551.PDF,不知道,安徽海螺水泥股份有限公司,适用,不相同
44617,300655,晶瑞股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/晶瑞股份/1205982804.PDF,适用,苏州晶瑞化学股份有限公司,不适用,不相同
52435,200045,深纺织Ｂ,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/深纺织Ｂ/1206120700.PDF,不知道,深圳市纺织(集团)股份有限公司,不适用,不相同
43735,200512,闽灿坤Ｂ,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/闽灿坤Ｂ/1205911989.PDF,不知道,厦门灿坤实业股份有限公司,不适用,不相同
44409,600744,华银电力,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/华银电力/1205970007.PDF,不适用,大唐华银电力股份有限公司,适用,不相同
52284,000601,韶能股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/韶能股份/1206097744.PDF,适用,广东韶能集团股份有限公司,适用,相同
43227,01627,安保工程控股,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/安保工程控股/1205221209.PDF,不知道,安保工程控股有限公司,不适用,不相同
51922,002415,海康威视,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/海康威视/1206086105.PDF,不知道,杭州海康威视数字技术股份有限公司,不适用,不相同
52889,200706,瓦轴B,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/瓦轴B/1206159600.PDF,不知道,瓦房店轴承股份有限公司,不适用,不相同
45002,900956,东贝Ｂ股,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/东贝Ｂ股/1206014306.PDF,不知道,黄石东贝电器股份有限公司,不适用,不相同
44047,600909,华安证券,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/华安证券/1205936076.PDF,不适用,华安证券股份有限公司,不适用,相同
44447,600016,民生银行,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/民生银行/1205969036.PDF,不知道,中国民生银行股份有限公司,不适用,不相同
43886,601899,紫金矿业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/紫金矿业/1205932730.PDF,不适用,紫金矿业集团股份有限公司,适用,不相同
44095,002236,大华股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/大华股份/1205941317.PDF,不知道,浙江大华技术股份有限公司,不适用,不相同
44128,000063,中兴通讯,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中兴通讯/1205949555.PDF,适用,中兴通讯股份有限公司,不适用,不相同
43344,00290,中国富强金融,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中国富强金融/1205238047.PDF,不知道,中国富强金融集团有限公司,不适用,不相同
51336,200869,张  裕Ｂ,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/张  裕Ｂ/1206058354.PDF,不知道,烟台张裕葡萄酿酒股份有限公司,不适用,不相同
51614,603739,蔚蓝生物,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/蔚蓝生物/1206079381.PDF,不适用,青岛蔚蓝生物股份有限公司,不适用,相同
51641,002437,誉衡药业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/誉衡药业/1206078184.PDF,不适用,哈尔滨誉衡药业股份有限公司,不适用,相同
41589,200613,大东海B,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/大东海B/1205849375.PDF,不知道,海南大东海旅游中心股份有限公司,不适用,不相同
51607,002908,德生科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/德生科技/1206079689.PDF,不知道,广东德生科技股份有限公司,不适用,不相同
44616,603069,海汽集团,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/海汽集团/1205982815.PDF,不适用,海南海汽运输集团股份有限公司,不适用,相同
43566,00002,中电控股,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中电控股/1205891145.PDF,不知道,中电控股有限公司,不适用,不相同
51343,600530,交大昂立,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/交大昂立/1206058128.PDF,不适用,上海交大昂立股份有限公司,不适用,相同
